id,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
923,432.000 ₫,-7%,4,7,4.8,21708,5,5.0
924,165.000 ₫,-33%,17,35,4.4,19,1,4.4
925,99.000 ₫,-17%,2,5,4.4,242,2,5.0
926,77.430 ₫,-13%,4,23,4.2,22,1,3.8
927,465.000 ₫,0,55,169,4.6,1945,1,4.3
928,320.000 ₫,0,26,199,4.6,1945,1,4.5
929,15.000 ₫,0,12,141,4.4,194,1,4.9
930,188.000 ₫,0,4,13,4.2,82,2,4.0
931,149.000 ₫,0,1,15,5.0,0,4,5.0
932,51.000 ₫,-26%,3,9,4.2,82,2,4.7
933,473.000 ₫,-7%,3,9,4.8,21708,5,4.3
934,89.500 ₫,-50%,21,84,4.7,331,2,4.9
935,324.000 ₫,-28%,33,99,4.7,2048,4,4.7
936,186.000 ₫,0,1,2,4.4,35,1,5.0
937,6.900 ₫,0,12,191,3.8,24,0,4.3
938,119.000 ₫,0,14,43,4.2,87,2,4.3
939,650.000 ₫,0,40,100,4.7,161,1,4.8
940,345.000 ₫,-31%,9,19,4.0,36,2,4.3
941,2.500.000 ₫,0,3,5,4.7,5939,2,5.0
942,167.000 ₫,0,1,5,4.0,30,1,1.0
943,299.000 ₫,-34%,53,134,4.5,2457,3,4.6
944,49.000 ₫,0,55,252,4.4,261,1,4.5
945,322.800 ₫,0,1,4,4.4,108,1,5.0
946,85.000 ₫,0,16,62,4.2,169,1,3.8
947,236.550 ₫,-5%,2,3,4.6,544,4,5.0
948,199.500 ₫,-50%,2,10,4.4,61,3,5.0
949,549.000 ₫,0,52,155,4.3,86,1,4.5
950,355.000 ₫,0,3,19,4.8,302,1,5.0
