id,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
190,38.600 ₫,0,44,266,4.2,793,1,0.0
191,219.000 ₫,0,10,34,4.7,12390,2,4.9
192,79.000 ₫,-46%,9,59,4.7,1945,5,4.8
193,79.000 ₫,-16%,49,149,4.7,1331,3,0.0
194,329.000 ₫,-6%,37,190,4.8,405,9,4.7
195,379.000 ₫,-7%,30,107,4.3,96,3,4.3
196,95.500 ₫,0,0,1,4.7,932,1,0.0
197,86.000 ₫,-13%,213,1332,4.6,220,1,4.6
198,68.980 ₫,0,13,26,4.3,357,1,3.4
199,168.000 ₫,0,5,17,4.6,10,1,4.8
200,125.000 ₫,-31%,10,74,4.7,471,4,4.7
201,45.000 ₫,-32%,216,23,4.8,7270,4,4.3
202,214.200 ₫,0,3,10,4.9,204,3,3.7
203,170.000 ₫,-30%,2,22,4.7,12390,2,5.0
204,79.000 ₫,-20%,3,137,4.7,1331,3,4.6
205,279.000 ₫,-16%,44,84,4.5,1331,2,4.9
206,65.000 ₫,-19%,18,693,4.7,1331,3,0.0
207,700.000 ₫,0,19,69,4.8,719,1,5.0
208,115.000 ₫,-23%,0,1,4.8,52,1,0.0
209,160.000 ₫,0,12,47,4.3,32,1,4.6
210,10.000 ₫,0,2,17,4.7,297,0,5.0
211,175.000 ₫,-8%,26,73,4.7,1331,4,4.9
212,65.000 ₫,0,46,263,4.8,129433,3,5.0
213,48.800 ₫,0,3,11,4.5,546,1,4.8
214,88.000 ₫,-20%,0,0,4.8,52,1,0.0
215,219.000 ₫,0,6,29,4.1,6,1,3.2
216,85.400 ₫,0,4,8,4.9,204,4,5.0
217,1.688.240 ₫,-6%,3,18,4.6,68,5,5.0
218,385.000 ₫,-45%,4,40,4.7,40,1,4.3
219,99.000 ₫,-29%,5,19,4.1,336,2,4.8
220,39.000 ₫,0,22,93,4.7,1331,2,4.8
221,209.000 ₫,-9%,11,26,4.4,15,1,4.5
222,26.000 ₫,-37%,415,1571,4.7,1331,2,5.0
223,269.000 ₫,-25%,23,74,4.8,3379,5,4.8
224,250.000 ₫,-50%,13,38,4.6,314,4,4.8
225,123.000 ₫,-20%,10,119,4.3,150,1,4.3
226,499.000 ₫,0,13,31,4.7,95,4,5.0
227,1.182.440 ₫,-18%,2,11,4.9,204,5,0.0
228,269.000 ₫,-23%,8,38,4.8,462,4,4.6
229,45.000 ₫,-25%,5,25,4.7,1331,3,4.8
230,52.000 ₫,0,10,25,4.2,0,1,0.0
231,70.000 ₫,0,0,0,0.0,440,2,0.0
232,66.000 ₫,0,0,0,4.2,479,2,5.0
233,119.000 ₫,-20%,2,2,5.0,9,1,4.1
234,115.000 ₫,-23%,1,7,4.8,52,1,4.0
235,338.000 ₫,-4%,12,39,4.7,1331,3,4.8
236,269.000 ₫,-25%,3,25,4.8,462,4,0.0
237,265.000 ₫,-5%,101,306,4.7,1331,3,4.8
238,379.000 ₫,0,4,10,3.9,30,6,4.0
239,105.000 ₫,-17%,2,31,0.0,0,0,4.0
240,6.800 ₫,0,5,36,4.8,3379,5,4.7
241,117.000 ₫,-22%,63,277,4.5,3584,7,4.6
242,65.000 ₫,0,39,0,0.0,0,4,4.6
243,55.000 ₫,0,7,71,4.7,297,1,4.4
244,163.000 ₫,0,0,7,3.9,1,1,0.0
245,75.000 ₫,-17%,8,30,4.7,1331,3,4.9
246,532.000 ₫,-3%,7,21,4.2,304,4,4.5
247,54.000 ₫,-23%,22,69,4.2,3686,8,0.0
248,99.000 ₫,0,3,22,3.7,260,1,3.3
249,199.000 ₫,0,8,35,4.4,820,3,4.1
250,169.000 ₫,-21%,8,22,4.8,462,4,4.7
251,207.500 ₫,-50%,28,63,4.6,372,9,5.0
252,90.000 ₫,-43%,31,143,4.7,83,1,4.5
253,29.000 ₫,0,2,13,4.7,12390,1,4.5
254,198.000 ₫,0,148,453,4.5,1331,2,4.8
255,78.000 ₫,-34%,8,17,4.4,126,2,3.9
256,34.000 ₫,-31%,15,58,4.7,1331,3,5.0
257,279.000 ₫,-24%,8,25,4.8,3379,5,0.0
258,245.000 ₫,-6%,8,26,4.7,1331,2,0.0
259,58.000 ₫,0,23,226,4.4,238,1,0.0
260,115.000 ₫,0,4,18,4.6,103,3,4.3
261,295.000 ₫,0,26,122,4.6,14,1,4.8
262,75.000 ₫,0,2,34,4.8,10,2,4.5
263,59.000 ₫,0,6,22,4.2,11,1,3.2
264,426.900 ₫,0,0,15,4.3,12,2,0.0
265,204.000 ₫,0,45,134,4.0,326,2,4.5
266,165.000 ₫,-8%,56,152,4.7,17,1,4.5
267,119.000 ₫,0,8,34,4.5,1331,3,4.6
268,39.000 ₫,-35%,32,140,4.2,479,1,4.7
269,25.000 ₫,0,8,94,4.1,6,1,4.6
270,129.000 ₫,0,9,81,4.5,45,3,5.0
271,92.000 ₫,-20%,2,4,4.7,3584,6,0.0
272,130.000 ₫,0,0,0,4.3,127,1,0.0
273,185.000 ₫,-3%,29,94,4.4,595,1,4.6
274,295.000 ₫,-50%,5,12,4.6,372,9,4.8
275,155.000 ₫,0,8,43,4.8,129433,4,3.1
276,60.000 ₫,0,11,61,4.5,54,1,4.6
277,603.000 ₫,-15%,43,161,4.7,12390,2,4.9
278,180.000 ₫,0,30,105,4.3,32,1,4.2
279,265.000 ₫,0,145,530,4.5,42,1,0.0
280,84.000 ₫,0,64,304,4.6,2355,10,4.7
281,144.500 ₫,-50%,11,73,3.4,5,1,4.5
282,369.000 ₫,0,3,10,4.2,15,0,4.7
283,12.000 ₫,-25%,2,9,4.8,462,4,5.0
284,22.000 ₫,0,1,35,4.7,142,0,5.0
285,55.000 ₫,-44%,2,21,4.7,1945,5,5.0
286,58.410 ₫,-1%,11,65,4.6,70,2,4.9
287,79.000 ₫,-1%,1,11,4.4,1024,4,5.0
288,129.000 ₫,0,5,37,4.8,74,1,4.8
289,22.000 ₫,0,1,35,4.7,1331,3,4.5
290,125.000 ₫,-11%,4,21,4.7,142,0,5.0
291,78.000 ₫,-16%,34,9,4.2,13,1,5.0
292,135.000 ₫,0,2,119,4.7,1331,3,4.4
293,72.000 ₫,-17%,45,176,4.7,1331,3,0.0
294,28.224 ₫,-2%,0,9,4.3,632,2,4.7
295,550.000 ₫,0,18,105,4.8,129433,4,4.7
296,120.000 ₫,0,3,14,4.6,23,1,5.0
297,249.000 ₫,-31%,52,189,4.7,1331,2,4.8
298,34.000 ₫,-45%,118,345,4.6,188,2,4.9
299,590.000 ₫,-34%,4,16,4.7,148,3,3.8
300,84.885 ₫,0,2,6,4.3,96,3,0.0
301,216.000 ₫,-23%,2,4,4.6,2,1,4.7
302,180.000 ₫,0,90,258,4.6,273,1,2.5
303,165.000 ₫,-9%,18,61,4.7,1331,3,4.8
304,99.000 ₫,-34%,31,90,4.6,66,3,4.6
305,145.500 ₫,-3%,2,2,4.5,462,4,5.0
306,155.000 ₫,-26%,4,15,4.8,400,4,5.0
307,78.000 ₫,-22%,3,8,4.7,471,4,5.0
308,95.000 ₫,-47%,3,6,4.5,215,3,5.0
309,99.000 ₫,0,1,16,4.8,3379,5,4.9
310,123.900 ₫,-23%,11,63,4.6,188,2,4.3
311,122.000 ₫,-45%,17,66,4.7,1945,5,4.8
312,25.000 ₫,0,2,18,4.5,57,3,5.0
313,99.000 ₫,0,9,34,4.7,12390,2,5.0
314,201.000 ₫,-28%,12,62,4.7,471,4,0.0
315,165.000 ₫,-25%,16,78,4.8,7270,4,4.9
316,18.000 ₫,0,8,20,4.5,291,1,4.5
317,99.000 ₫,-20%,8,24,4.3,150,1,4.1
318,75.899 ₫,0,2,16,4.3,357,1,4.5
319,140.000 ₫,-30%,5,37,4.8,166,1,5.0
320,42.500 ₫,-50%,8,33,4.5,1638,1,4.6
321,259.000 ₫,0,37,331,4.5,481,3,4.6
322,75.000 ₫,-44%,3,37,4.7,3,1,4.5
323,209.000 ₫,-40%,4,9,4.5,1945,5,5.0
324,65.000 ₫,0,2,4,5.0,81,2,5.0
325,559.300 ₫,-6%,2,8,4.9,102,2,5.0
326,117.000 ₫,-11%,132,518,4.7,1331,3,4.7
327,135.000 ₫,0,66,227,4.6,382,1,4.7
328,369.000 ₫,0,21,52,4.7,12390,2,4.8
329,145.000 ₫,0,6,44,4.5,93,2,5.0
330,251.800 ₫,-26%,58,252,4.6,757,2,4.7
331,279.000 ₫,-30%,3,4,5.0,103,3,4.8
332,295.000 ₫,0,41,208,4.6,51,1,4.8
333,56.000 ₫,0,28,162,4.5,546,1,5.0
334,115.640 ₫,-2%,6,43,4.5,54,1,5.0
335,195.000 ₫,-25%,20,115,4.8,7270,4,5.0
336,85.000 ₫,-47%,5,27,4.7,68,5,0.0
337,103.000 ₫,0,139,18,4.4,126,2,4.5
338,92.000 ₫,-23%,3,566,4.7,20,6,0.0
339,230.000 ₫,0,2,25,4.6,16,1,4.3
340,180.000 ₫,0,6,4,4.4,274,1,5.0
341,35.000 ₫,-20%,4,14,4.9,32,2,4.8
342,58.000 ₫,-21%,49,165,4.6,362,1,5.0
343,384.000 ₫,0,5,14,4.7,1331,3,0.0
344,157.000 ₫,-22%,2,5,4.9,10649,2,5.0
345,483.000 ₫,-13%,45,151,4.7,1331,4,5.0
346,1.356.800 ₫,-20%,3,20,4.9,204,3,4.9
347,137.610 ₫,-1%,8,24,4.6,1331,6,4.8
348,22.000 ₫,-41%,159,597,4.7,1331,2,4.8
349,163.000 ₫,-4%,2,6,4.2,304,4,0.0
350,390.000 ₫,-1%,12,36,4.6,14,0,4.8
351,20.000 ₫,0,11,96,4.6,206,2,4.6
352,100.000 ₫,0,2,17,4.7,297,1,4.5
353,89.000 ₫,-45%,4,9,4.6,409,3,5.0
354,119.000 ₫,-14%,0,0,3.6,16,1,0.0
355,72.000 ₫,0,121,345,4.7,1331,3,0.0
356,37.000 ₫,0,0,9,4.2,479,1,0.0
357,450.000 ₫,0,31,168,4.5,71,1,4.6
358,69.000 ₫,-47%,18,81,4.6,1228,4,4.4
359,235.000 ₫,-21%,0,0,4.2,479,2,0.0
360,325.000 ₫,0,0,0,4.3,119,2,0.0
361,199.000 ₫,-20%,18,59,4.6,409,3,4.9
362,487.000 ₫,0,2,4,5.0,10,2,5.0
363,22.875 ₫,-25%,5,22,4.8,1,1,0.0
364,250.000 ₫,0,2,2,4.4,13,1,5.0
365,49.000 ₫,0,2,7,3.5,462,4,4.3
366,339.150 ₫,-25%,6,38,4.8,105,3,0.0
367,269.000 ₫,-15%,5,30,4.3,155,6,4.8
368,138.999 ₫,0,54,175,4.1,88,1,5.0
369,325.000 ₫,0,2,3,4.7,297,1,3.0
370,73.000 ₫,0,3,10,4.1,1433,4,4.3
371,450.000 ₫,-35%,0,2,4.6,4,1,5.0
372,105.000 ₫,0,190,509,4.2,479,1,0.0
373,32.000 ₫,0,13,22,4.5,291,2,0.0
374,95.000 ₫,0,0,0,4.6,3276,2,4.7
375,69.000 ₫,-19%,5,24,4.7,1331,3,4.8
376,62.000 ₫,-19%,53,224,4.5,215,3,0.0
377,58.000 ₫,-21%,30,10,4.1,79,1,5.0
378,137.984 ₫,0,3,103,4.7,1331,3,0.0
379,99.900 ₫,0,0,0,3.5,55,1,0.0
380,109.000 ₫,-12%,23,82,4.7,1331,3,4.8
381,55.000 ₫,-44%,3,24,4.5,261,1,3.0
382,199.000 ₫,-33%,105,515,4.5,3379,9,4.6
383,226.000 ₫,-11%,8,6,4.8,3379,5,0.0
384,279.000 ₫,-22%,2,22,4.7,64,3,4.5
385,1.599.000 ₫,0,4,26,4.9,10649,3,5.0
386,118.000 ₫,0,43,109,4.5,546,1,4.3
387,241.000 ₫,-20%,2,11,4.8,462,4,5.0
388,369.000 ₫,-3%,5,17,4.2,304,4,4.4
389,440.000 ₫,-30%,10,36,4.7,12390,2,5.0
390,22.999 ₫,0,6,34,4.5,520,2,4.3
391,286.110 ₫,-1%,2,7,4.6,1331,6,5.0
392,690.000 ₫,0,5,21,4.1,1433,4,4.1
393,233.000 ₫,0,12,48,4.7,739,3,4.8
394,0,-22%,4,42,4.9,10649,2,4.8
395,299.000 ₫,0,9,23,4.4,820,3,5.0
396,90.000 ₫,0,5,21,4.6,23,1,4.8
397,0,0,160,727,4.5,1331,2,4.7
398,25.000 ₫,0,8,66,4.2,479,1,4.1
399,70.000 ₫,0,10,59,4.7,297,1,4.7
400,155.000 ₫,-29%,8,38,4.2,224,2,4.0
401,143.000 ₫,-20%,29,141,4.3,786,1,4.6
402,48.000 ₫,0,44,848,4.5,292,1,0.0
403,142.500 ₫,-5%,9,64,4.5,332,2,4.9
404,369.000 ₫,-20%,3,18,4.8,462,4,5.0
405,154.000 ₫,-23%,9,55,4.8,3379,5,4.6
406,123.000 ₫,0,5,18,4.6,382,1,4.8
407,69.000 ₫,0,4,9,4.7,153,1,4.8
408,179.000 ₫,0,3,3,4.5,13,1,4.3
409,99.000 ₫,0,2,7,4.7,124,3,4.5
410,339.000 ₫,0,9,45,4.6,405,1,5.0
411,55.000 ₫,-9%,2,21,4.8,382,9,4.9
412,100.000 ₫,0,3,13,4.7,297,1,5.0
413,240.000 ₫,0,162,476,4.4,820,3,4.2
414,55.000 ₫,0,2,18,4.7,28,1,5.0
415,74.000 ₫,0,7,84,3.5,10,1,3.9
