id,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
175,88.000 ₫,-20%,31,275,4.7,581,4,5
176,79.000 ₫,-46%,54,368,4.5,3276,8,4.6
177,339.000 ₫,-50%,75,307,4.7,645,4,4.7
178,129.888 ₫,-42%,0,3,4.5,17,3,0
179,58.000 ₫,-6%,143,912,4.4,1024,4,0
180,19.000 ₫,0,32,224,4.6,362,0,4.8
181,29.000 ₫,-42%,7,61,4.7,543,4,4.9
182,49.000 ₫,-11%,4,6,4.5,400,4,5
183,145.000 ₫,0,19,93,4.7,1945,1,4.8
184,240.000 ₫,0,5,6,4.7,725,6,5
185,153.000 ₫,-15%,4,32,4.6,19,2,5
186,25.000 ₫,0,11,106,4.6,318,0,4.9
187,125.000 ₫,-1%,11,191,4.7,1536,2,4.3
188,234.000 ₫,0,34,183,4.6,649,12,4.9
189,128.000 ₫,-19%,80,664,4.7,581,4,4.7
190,86.500 ₫,0,97,1573,4.6,368,1,4.6
191,2.970 ₫,-1%,56,1674,4.6,21,0,4.7
192,139.000 ₫,-40%,32,116,4.7,335,3,4.5
193,106.000 ₫,-7%,5,65,4.7,479129,1,5
194,41.580 ₫,-1%,24,95,4.6,21,0,4.7
195,116.000 ₫,0,17,122,4.7,51,1,4.7
196,139.900 ₫,-33%,51,296,4.6,81,1,4.3
197,119.000 ₫,-37%,14,72,4.5,172,2,3.7
198,14.850 ₫,-1%,9,104,4.6,21,0,4.9
199,42.000 ₫,-14%,23,155,4.7,581,3,4.6
200,108.000 ₫,0,60,328,4.7,1638,1,4.8
201,52.250 ₫,-5%,68,416,4.5,4710,2,4.1
202,10.000 ₫,-44%,4,139,4.5,172,1,5
203,239.000 ₫,0,0,3,4.7,645,4,0
204,302.000 ₫,-18%,6,53,4.9,522,3,5
205,99.999 ₫,0,9,54,4,236,4,3.1
206,86.500 ₫,0,121,4129,4.6,368,1,4.5
207,179.000 ₫,-19%,9,43,4.7,543,5,5
208,16.000 ₫,0,4,68,4.2,1331,3,4
209,82.000 ₫,-16%,64,369,4.7,479129,1,4.7
210,109.000 ₫,0,54,333,4.9,21,1,4.9
211,40.000 ₫,0,6,51,4.6,31,1,4.2
212,69.000 ₫,0,14,173,4.6,12,3,4.7
213,144.951 ₫,0,45,400,4.1,23,1,3.8
214,182.000 ₫,0,13,71,4.7,1433,3,5
215,38.500 ₫,0,7,47,4.6,153,0,5
216,219.000 ₫,-44%,7,20,4.7,543,5,4.4
217,55.000 ₫,-44%,11,81,4.2,479,2,4.8
218,129.000 ₫,-28%,82,387,4.7,532,1,4.9
219,289.000 ₫,-28%,39,150,4.4,1638,5,4.9
220,244.000 ₫,-38%,0,5,4.5,17,3,0
221,79.000 ₫,0,6,57,4.7,1945,1,4.8
222,497.000 ₫,0,0,2,4.7,645,4,0
223,69.900 ₫,0,4,49,4.2,1,1,4.3
224,268.998 ₫,-45%,1,11,4.7,88,3,5
225,180.000 ₫,0,114,584,4.7,416,1,0
226,249.000 ₫,-4%,105,446,4.8,5222,2,4.8
227,61.000 ₫,0,40,320,4.8,408,1,4.8
228,12.200 ₫,0,12,604,4.8,616,1,4.7
229,60.000 ₫,0,6,36,3.9,22,1,4.3
230,90.000 ₫,-14%,49,435,0,0,0,4.8
231,32.000 ₫,0,9,65,0,0,0,4.1
232,49.000 ₫,0,261,1662,4.8,408,1,4.8
233,120.000 ₫,0,17,122,4.6,216,1,4.1
234,140.580 ₫,-1%,9,34,3.9,8,1,4.1
235,120.673 ₫,0,89,435,0,0,0,0
236,155.000 ₫,0,0,4,0,0,0,0
237,779.000 ₫,0,169,938,4.6,597,1,4.7
238,175.000 ₫,-12%,7,58,0,0,0,0
239,79.000 ₫,0,9,58,0,0,0,0
240,89.000 ₫,-18%,15,95,4.6,2252,5,4.4
241,715.000 ₫,-11%,127,630,4.8,2048,3,4.8
242,108.000 ₫,-5%,5,24,4.7,479129,1,5
243,129.000 ₫,0,5,19,0,0,0,0
244,89.000 ₫,-48%,19,129,4.5,172,2,4.1
245,238.000 ₫,0,14,54,4.4,1740,4,4.3
246,33.000 ₫,-40%,34,539,4.5,172,1,4.5
247,178.480 ₫,-3%,66,495,4.5,1331,3,4.6
248,139.000 ₫,-28%,70,386,4.8,144,2,4.8
249,14.190 ₫,0,0,49,4.2,1331,3,0
250,249.000 ₫,-4%,6,27,4.8,5222,2,4.8
251,225.000 ₫,0,1,1,4.7,645,4,0
252,48.000 ₫,-4%,8,112,4.9,522,3,0
253,19.000 ₫,0,25,135,4.3,55,0,4.4
254,59.000 ₫,0,3,20,4.7,725,8,5
255,158.000 ₫,-21%,19,142,4.8,277,1,4.9
256,429.000 ₫,0,0,203,4.7,645,5,0
257,105.600 ₫,0,5,33,4.7,479129,1,5
258,158.000 ₫,-21%,9,108,4.7,1638,1,5
259,24.750 ₫,0,11,84,4.5,173,0,4.3
260,83.000 ₫,-48%,95,249,5,88,1,0
261,30.900 ₫,0,89,795,4.4,2150,0,4.5
