,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
0,89.500 ₫,-50%,8,32,4.7,331,2,4.8
1,428.000 ₫,0,1,8,4.7,91,1,4
2,84.000 ₫,-7%,5,13,4.8,21708,5,0
3,299.390 ₫,-9%,3,11,4.6,544,4,4.7
4,774.000 ₫,-40%,10,43,4.5,8294,5,4.7
5,49.000 ₫,0,68,265,4.8,302,1,4.5
6,106.000 ₫,-30%,136,448,4.4,104,5,4.4
7,185.000 ₫,0,8,45,4.2,122,2,4.6
8,297.000 ₫,-41%,8,30,4.3,237,4,4.6
9,379.000 ₫,0,23,49,4.9,179,1,4.9
10,44.000 ₫,0,1,19,4.5,64,0,5
11,99.000 ₫,-41%,24,221,4.5,317,2,4.4
12,280.000 ₫,0,20,103,4.5,87,1,4.5
13,189.000 ₫,0,10,26,4.5,1843,1,4.2
14,30.000 ₫,-44%,10,61,4.6,441,3,4.1
15,43.415 ₫,-50%,4,35,4.3,67,0,4.8
16,18.000 ₫,-40%,18,84,4.1,1843,2,4.1
17,26.000 ₫,0,28,150,4.7,78,2,4.9
18,390.000 ₫,-50%,2,10,4.6,77,2,5
19,89.500 ₫,-44%,33,97,4.7,331,2,4.7
20,27.600 ₫,-8%,4,41,4.5,4710,1,0
21,40.000 ₫,-33%,14,75,4.6,441,3,4.8
22,203.000 ₫,0,1,2,4.3,11,1,5
23,38.000 ₫,0,11,59,4.7,339,1,5
24,129.000 ₫,-46%,59,157,4.6,1638,2,4.3
25,451.000 ₫,-7%,69,148,4.8,21708,5,4.9
26,94.000 ₫,0,1,1,3.4,4,1,1
27,1.495.000 ₫,-50%,43,151,4.5,8294,6,4.8
28,30.000 ₫,-50%,9,36,4.6,441,3,5
29,49.000 ₫,0,5,32,4.4,15,1,4.6
30,13.000 ₫,-46%,3,45,4.4,48,0,3.7
31,100.000 ₫,-50%,24,99,4.6,441,4,4.7
32,22.000 ₫,-57%,6,50,4.2,2867,1,4.2
33,105.000 ₫,0,1,1,4.7,91,1,1
34,15.000 ₫,-32%,130,759,4.7,2252,0,4.6
35,46.200 ₫,-23%,33,155,4.7,53,1,4.7
36,65.000 ₫,0,10,45,4.1,1433,4,4.4
37,269.000 ₫,-40%,1,1,4.4,194,2,4
38,530.000 ₫,0,6,15,4.7,809,4,5
39,307.000 ₫,-32%,115,312,4.7,2048,4,4.7
40,169.000 ₫,-45%,17,52,4.4,91,2,4
41,200.000 ₫,0,13,97,4.6,100,2,4.2
42,449.000 ₫,0,1,4,4.0,24,1,1
43,45.500 ₫,-30%,189,858,4.5,628,3,4.6
44,9.000 ₫,0,0,0,4.4,91,1,0
45,57.000 ₫,0,10,62,4.1,1433,4,4.7
46,90.000 ₫,0,59,292,0.0,0,0,4.7
47,35.000 ₫,0,17,95,4.6,57,0,4.4
48,25.000 ₫,0,30,275,3.9,48,2,4.2
49,165.000 ₫,0,36,115,4.4,817,1,4.4
50,50.000 ₫,0,6,39,4.5,317,2,4.3
51,52.250 ₫,-5%,4,26,4.6,2764,2,5
52,65.000 ₫,0,30,97,4.7,91,1,4.7
53,99.000 ₫,0,3,8,4.2,495,2,5
54,565.000 ₫,-33%,3,8,4.7,2150,4,4.3
55,79.000 ₫,-28%,9,96,4.4,124,2,4.7
56,179.000 ₫,0,3,4,4.6,892,1,5
57,89.000 ₫,0,3,12,4.7,91,5,4.8
58,74.000 ₫,0,11,56,4.2,628,3,4.7
59,110.000 ₫,0,125,521,4.5,393,1,4.5
60,72.500 ₫,-50%,191,1333,4.5,628,3,4.6
61,269.000 ₫,-23%,3,7,4.4,3,0,4.8
62,25.000 ₫,0,6,203,4.6,71,1,3.7
63,40.000 ₫,0,12,42,4.7,91,0,4.8
64,299.000 ₫,-17%,16,46,4.0,241,1,4
65,254.250 ₫,-46%,26,112,4.4,91,2,4.3
66,199.000 ₫,-25%,2,5,4.8,166,2,0
67,320.000 ₫,-36%,3,14,4.3,237,4,4.7
68,89.500 ₫,-44%,46,156,4.7,331,2,4.8
69,454.300 ₫,-30%,2,8,4.8,18,1,5
70,15.000 ₫,0,5,47,4.6,19,0,5
