id,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
1052,119.000 ₫,0,1,2,4.2,1843,5,5.0
1053,294.000 ₫,0,1,1,3.8,24,1,3.0
1054,61.000 ₫,0,1,1,4.4,273,1,5.0
1055,95.000 ₫,0,4,6,3.8,63,1,4.8
1056,49.000 ₫,0,3,5,4.7,568,1,5.0
1057,87.000 ₫,-36%,8,32,4.3,559,5,4.1
1058,149.000 ₫,0,2,2,4.4,24,1,5.0
1059,199.000 ₫,-15%,7,14,4.2,665,1,4.7
1060,138.000 ₫,0,75,421,4.7,2662,5,4.8
1061,185.000 ₫,-20%,1,2,3.8,414,2,5.0
1062,128.000 ₫,0,9,41,4.0,626,1,3.2
1063,199.000 ₫,0,3,5,4.7,465,1,4.3
1064,399.000 ₫,0,2,4,4.5,42,1,5.0
1065,85.998 ₫,0,29,310,4.0,214,1,4.0
1066,189.000 ₫,-37%,3,7,4.6,1740,4,4.3
1067,110.000 ₫,0,26,92,3.9,565,1,4.3
1068,179.000 ₫,-49%,15,48,4.6,1843,4,4.5
1069,185.000 ₫,0,1,1,4.6,148,2,0.0
1070,85.000 ₫,0,0,1,4.4,489,5,5.0
1071,20.000 ₫,-47%,33,220,4.6,1843,3,4.9
1072,135.000 ₫,-17%,0,1,4.4,262,1,0.0
1073,20.000 ₫,0,3,5,3.7,8,0,2.3
1074,135.000 ₫,-13%,6,46,4.6,2252,1,5.0
1075,99.000 ₫,-30%,1,2,4.1,130,1,1.0
1076,99.000 ₫,0,2,16,4.7,2662,5,5.0
1077,129.000 ₫,-50%,41,121,4.3,4812,2,0.0
1078,149.000 ₫,-30%,30,39,4.5,5222,7,0.0
1079,215.000 ₫,0,1,1,5.0,3,1,5.0
1080,119.000 ₫,0,4,30,4.3,46,1,5.0
1081,467.000 ₫,0,2,6,4.2,70,3,5.0
1082,67.000 ₫,-52%,22,52,4.7,11673,4,0.0
1083,175.000 ₫,-7%,8,23,4.0,122,1,4.7
1084,189.000 ₫,-37%,13,24,4.3,4812,2,4.5
1085,96.000 ₫,-10%,1,3,4.3,530,5,5.0
1086,235.000 ₫,0,164,580,4.7,2662,5,4.5
1087,199.000 ₫,-36%,6,18,4.6,1843,4,4.8
1088,106.000 ₫,-9%,49,121,4.5,336,1,4.7
1089,80.000 ₫,0,140,344,4.5,2252,6,4.5
1090,77.000 ₫,-30%,8,22,4.4,48,4,4.6
1091,281.000 ₫,0,2,5,4.3,30,1,1.0
1092,59.000 ₫,-31%,54,150,4.1,130,1,4.0
1093,89.000 ₫,0,9,19,3.3,147,2,3.2
